链接标题,内容摘要,来源贴吧,最近回复用户名,最近回复时间,链接地址,主题帖包含图片链接,主题帖内容,图片本地存储地址
"回复:好家伙,钓鱼佬要小心了呀","网页 男人就不能有点爱好吗,又不是吃喝PD,?还不可以吗?",2ch,dfhiutf,2021-11-28 18:20,https://tieba.baidu.com/p/7628608936?pid=142248711193&cid=0#142248711193,"['http://tiebapic.baidu.com/forum/w%3D580/sign=fc59591c06b5c9ea62f303ebe538b622/fc17fed3572c11df612ed0343e2762d0f603c27d.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=d115cb04cadda144da096cba82b6d009/be6a4a2309f7905245e0282951f3d7ca7acbd57d.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=a0256cf6722eb938ec6d7afae56385fe/bbe3d82a2834349bf7f9019294ea15ce37d3be7d.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=8b97cec9ad1f3a295ac8d5c6a924bce3/2cdf9f13b07eca8062fb56f0cc2397dda044837d.jpg']","['', '我记得那是前面疫情最严重时候的事了吧', '婚姻本来就是财产私有的社会中扭曲出来的一种东西，参与其中的每个人早就不是人了，不过是机器上的小零件而已', '详细', '别水了，这是疫情期间的，也不是宜兴的，这是我们村的', '和玩游戏一样建议封了', '', '没老婆，怕什么😅', '很早了20年的事儿了', '', '好', '疫情期间其实能理解', '快进到jc碰巧抓到逃犯奖励70w', '所以我钓鱼戴头盔没问题吧', '看这帖子就知道对立玩的有多成功']","['../../results\\钓鱼链接\\images\\dfhiutf-0.jpg', '../../results\\钓鱼链接\\images\\dfhiutf-1.jpg', '../../results\\钓鱼链接\\images\\dfhiutf-2.jpg', '../../results\\钓鱼链接\\images\\dfhiutf-3.jpg']"
回复:【避雷】【210917】用出物链接钓鱼比用出物链接安利更讨人厌,"期间我上微博发现她不理我的这段时间里面,一直在微博活跃我还到微博提醒她回我消息,现在想想真是大无语",bjd吐槽,清风__青峰,2021-09-17 22:42,https://tieba.baidu.com/p/7543116646?pid=141332655457&cid=0#141332655457,"['http://tiebapic.baidu.com/forum/w%3D580/sign=57497a0ee86eddc426e7b4f309d9b6a2/bc496d0e0cf3d7ca22766b9db71fbe096963a9c0.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=309d75688c1373f0f53f6f97940e4b8b/275044b5c9ea15ced70d0d1aeb003af33b87b2aa.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=ef09c65d8c177f3e1034fc0540cd3bb9/5f9f15d162d9f2d369ed7004ecec8a136127cccc.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=80fee64fe1c27d1ea5263bcc2bd7adaf/6b213fa4462309f7c493f9f9370e0cf3d5cad6cc.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=64726eff07a7d933bfa8e47b9d49d194/44323a2dd42a28345f5a62e01eb5c9ea17cebfcc.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=0037e3d91fafa40f3cc6ced59b66038c/31a529d3d539b60049345b5cac50352ac45cb7ca.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b0742e202e8da9774e2f86238050f872/7de9adb7d0a20cf4cb4913cc2b094b36adaf99b0.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=d3e0030bb203918fd7d13dc2613f264b/d47425292df5e0fe29e2ddea196034a85cdf72ca.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=74366cacd15494ee87220f111df4e0e1/9772f4c4b74543a905ce17df43178a82b80114b3.jpg']","['从十三号谈好价格一直溜到现在已读不回，自己的评价里面还嫌别人卖东西拖时间请问你这是在干什么？？', '这是一开始她挂的2600，我一个朋友帮我问能不能刀一百她说可以，我就直接去问了，然后她说太累了明天拍，我表示理解然后第二天她并没有出现直到系统自动关闭订单', '然后第三天发了个视频跟我说去找证了，说完之后立马消失，我就寻思问题不大我再等一天呗，第四天并没有出现，然后我一个姐妹就说看着像钓鱼的，我就说了一句不出的话请提前告知，结果第五天群里帮我砍价的姐妹说她上线了，我上线一看她直接已读不回', '哈哈哈哈哈可恶', '期间我上微博发现她不理我的这段时间里面，一直在微博活跃我还到微博提醒她回我消息，现在想想真是大无语', 'ccc', 'Ccc', 'ccc', 'Ccc', 'ccc确实挺反感溜人的，不过钓鱼有什么好处么？', 'ccc', 'ccc', 'ccc', 'ccc', 'ccc']","['../../results\\钓鱼链接\\images\\清风__青峰-0.jpg', '../../results\\钓鱼链接\\images\\清风__青峰-1.jpg', '../../results\\钓鱼链接\\images\\清风__青峰-2.jpg', '../../results\\钓鱼链接\\images\\清风__青峰-3.jpg', '../../results\\钓鱼链接\\images\\清风__青峰-4.jpg', '../../results\\钓鱼链接\\images\\清风__青峰-5.jpg', '../../results\\钓鱼链接\\images\\清风__青峰-6.jpg', '../../results\\钓鱼链接\\images\\清风__青峰-7.jpg', '../../results\\钓鱼链接\\images\\清风__青峰-8.jpg']"
"回复:新手钓鱼鱼竿有了,还需要些啥",4号袖钩是主线还是子线啊?有没有淘宝我看淘宝卖的都是什么线组看不懂,钓鱼,雷公Y助我,2021-11-11 17:50,https://tieba.baidu.com/p/7608773325?pid=142019083230&cid=142019174725#142019174725,"['http://tiebapic.baidu.com/forum/w%3D580/sign=747954305424ab18e016e13f05fae69a/8361251f95cad1c881994d31223e6709c93d51b1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=73c505ed64dbb6fd255be52e3924aba6/1bfcfd1f4134970a1251a139c8cad1c8a7865db1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=9544a28fb6deb48ffb69a1d6c01d3aef/bff8912397dda144c58a545cf7b7d0a20df48608.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=0b2bdc9de84bd11304cdb73a6aada488/098ecd11728b47107aacc52286cec3fdfd032308.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=9d4c20e4201ed21b79c92eed9d6fddae/dfae800a19d8bc3eabedb7dcdf8ba61ea9d345ea.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=adc1023e6b7adab43dd01b4bbbd5b36b/2d7e0fb30f2442a78ceb4cb38c43ad4bd01302ea.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=9feb0362b6f81a4c2632ecc1e72b6029/c8db0ad162d9f2d3c4f495f9f4ec8a136227cceb.jpg']","['新人准备入坑，鱼竿买了汉鼎一号四代M调4.5m的。主要就是在鱼塘或者小河沟里钓鱼，求大佬帮忙补全装备', '饵料推荐 化氏4号鲫6号鲫  西部风酒米', '其他的让汉鼎客服给你推荐 一块买了 省事', '买十副钩十块钱的', '在河边钓鱼，如果有风的话，或者有水草旁边还有小树枝的话，很容易挂断', '打个屁的码，这价格我平时买都要不了这么贵', '马扎，水桶，4号袖钩，一包蚯蚓，上瘾了再升级装备', '汉鼎旗舰店 我都给你找好了。', '饵料野战蓝鲫就行了', '1.5主线，0.6子线，4号袖钩，吃铅1.2-1.5的漂一只，小折叠凳，鱼护，抄网，饵料', '还要买点铅皮', '蓝鲫1杯，918一杯，速攻半杯，冬季热水开饵，醒饵5分钟再收拢成团，拉饵加水前可加小量拉丝粉，大概5分1杯-4分1杯，', '饵料野战蓝鲫，可以从网上学学钓鱼新手教程', '橡皮筏']","['../../results\\钓鱼链接\\images\\雷公Y助我-0.jpg', '../../results\\钓鱼链接\\images\\雷公Y助我-1.jpg', '../../results\\钓鱼链接\\images\\雷公Y助我-2.jpg', '../../results\\钓鱼链接\\images\\雷公Y助我-3.jpg', '../../results\\钓鱼链接\\images\\雷公Y助我-4.jpg', '../../results\\钓鱼链接\\images\\雷公Y助我-5.jpg', '../../results\\钓鱼链接\\images\\雷公Y助我-6.jpg']"
回复:钓鱼佬从不走空,"无聊时,可以来我我的游戏哦《万世情缘》只要你嘴严,演技高强,我就给你充金。官方:http://api.chuangyouhy.com/index/Landing/game?&cid=378&gid=1795注册就送VIP等各种福利,发送账号与区服还可另外领取大礼包哦,快来体验...",钓鱼,东篱633,2021-12-25 18:51,https://tieba.baidu.com/p/7665718010?pid=142616566730&cid=0#142616566730,"['http://tiebapic.baidu.com/forum/w%3D580/sign=b89c0d2867f33a879e6d0012f65d1018/8e4255fbb2fb43160087f4627da4462309f7d33a.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=ef10b9ca6d34349b74066e8df9eb1521/d00862d0f703918f6ad1651a143d269758eec48a.jpg']","['就是你偷了我的橘子', '钓鱼佬你坏事做尽', '钓鱼佬你坏事做尽', '没素质的钓鱼人    比钓鱼恶心', '原来是你这小伙子头我家小干，你等着', '川瘤子，喜欢偷嘛', '谁空军还不搞点东西走', '钓鱼无聊时，可以来我我的游戏哦《万世情缘》只要你嘴严，演技高强，我就给你充金。官方链接：注册就送VIP等各种福利，发送账号与区服还可另外领取大礼包哦，快来体验吧。', '我报警了，你赶紧跑吧']","['../../results\\钓鱼链接\\images\\东篱633-0.jpg', '../../results\\钓鱼链接\\images\\东篱633-1.jpg']"
"回复:吧友们,最近在快速匹配里得小心一种钓鱼...","机智的楼主立马就想到了通过R6S战场来查找到他的steamID,于是便在下面通过故意丢个在上面的方式,稍微和他聊了一两句人生,成功地让他破防后到贴吧来找我开心的玩耍咯这智商...",彩虹六号,V残W月V,2021-11-29 19:32,https://tieba.baidu.com/p/7631237405?pid=142263704439&cid=0#142263704439,"['http://tiebapic.baidu.com/forum/w%3D580/sign=f2a16a6825f0f736d8fe4c093a54b382/f9b8958fa0ec08fa08f84fb004ee3d6d54fbda6c.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=9e45c76c8c1373f0f53f6f97940f4b8b/046a66d9f2d3572c5ed9c3cbd713632762d0c32d.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=cdf2d9dc1e166d223877159c76230945/5739b6b7d0a20cf4a9a4a0c82b094b36acaf9928.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=96fefb75c522720e7bcee2f24bcb0a3a/458da8af2edda3cce3d0e6375ce93901213f9228.jpg']","['这种人（说着简体中文，但不是岗/傲/抬，猜猜他是什么成分）会顶着一个不得了的ID，在「全体」的聊天框里无缘无故输入诸如“原批（是的，莫名其妙，当时都给我整不会了😅）”“某个地名NO.1”等词汇，借此来挑动上升至一个庞大整体的敏（第二声）租（第二声）矛盾，但在我调查以后，我发现这实际上只是对其自己所处的一个共同体不满的表现导致其以一种不纯粹（第一行）的方式被发泄（用移情来形容似乎更合适）了出来（特技啊嗯，学不来😅）楼下细说...', '也就是前天，我在打快速匹配的时候玩的正开心，对面突然就有人发了一句「Vigil，xjoms」（上面为一种加密形式，具体参考26键盘的每一个字母左边移位一格后会拼成什么不得了的东西）楼主心想这可能是因为我在这个队伍的KD是第一名的那个（后半局纯粹就是在用中文输入器单方面输出，把它给整自闭了，但我还是不消气😅）便想如何才能套出他的所有ID，并且搞他一手，于是便做出了如下举动', '机智的楼主立马就想到了通过R6S战场来查找到他的steamID，于是便在下面通过故意丢个链接在上面的方式，稍微和他聊了一两句人生，成功地让他破防后到贴吧来找我开心的玩耍咯这智商...', '可能有些内容被吞了，怎么会事呢，出来啊', '顶', '置臀', '很简单的事实，自认为看得多了就高人一等，自己嗯输出唤不醒别人，只能把别人都嗯当成支，，，还生造支性低劣的主张，把自己大脑升级精神胜利😅但凡看一点社会构成的学说都不会这样。', '这群人想run又run不掉，只能无能狂怒。', '网上还真是什么贵物都有啊', '尽管举报就是了嘛，小神🐛，再怎么说这竖着的Uplay ID，一个月终究只能改一次嘛，你改了之后我再做一张就是了', 'emmm，没看懂，但是大为震撼', '天天说国外好，一查ip，国内！这挺尴尬的😅', '原来天天说蜘蛛蜘蛛的人里还真有大陆人啊我一直以为全是港，澳，台', '顶', '楼主玩的啥服啊']","['../../results\\钓鱼链接\\images\\V残W月V-0.jpg', '../../results\\钓鱼链接\\images\\V残W月V-1.jpg', '../../results\\钓鱼链接\\images\\V残W月V-2.jpg', '../../results\\钓鱼链接\\images\\V残W月V-3.jpg']"
回复:钓鱼佬都不上班的吗?这么闲,网页 失效复制发出来就可以。 刚刚改革,山地车,林大亿,2021-11-24 12:34,https://tieba.baidu.com/p/7624318562?pid=142190027021&cid=0#142190027021,"['http://tiebapic.baidu.com/forum/w%3D580/sign=26863e3133c6a7efb926a82ecdfbafe9/4ded6559252dd42ae9a39a45463b5bb5cbeab8fa.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=639db706f93eb13544c7b7b3961fa8cb/963334adcbef7609a8a102716bdda3cc7ed99efa.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=1c7b0418e50e7bec23da03e91f2fb9fa/e10c0f46f21fbe094e19d30336600c338644adad.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=0664f73c53f41bd5da53e8fc61db81a0/7a399c25bc315c604fd27bf8d0b1cb13485477ad.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b35e96df643fb80e0cd161df06d32ffb/4d0d7ecb0a46f21f0cbec4bdb3246b600e33ae9a.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=6c2e6cca73738bd4c421b239918a876c/94331ed5ad6eddc4e740a7ec64dbb6fd5366334d.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=95942ad48aca7bcb7d7bc7278e086b3f/6cc4768da977391254819676a5198618377ae24e.jpg']","['不是同一个人', '链接失效复制发出来就可以。 刚刚改革', '骑车不影响我钓鱼，钓鱼不影响我骑车。', '那骑车佬不是更闲，还有闲心去拍本来就闲的钓佬', '那你是保安，骑车巡逻呢？', '钓鱼就是在上班', '不太清楚，不过那天我确实不上班', '你永远能在河边看见钓鱼老哥', '你不也骑车溜达不上班', '难道你当时在上班？', '骑车的都不上班吗？这么闲', '小伙纸你这什么车啊，禧玛诺的。巧了，我这鱼竿也是禧玛诺的', '众所周知三大堪比吸毒爱好，钓鱼，摄影，骑车', '楼上怎么会有人觉得钓鱼佬就是好多游手好闲在外行眼里，骑车也不是什么正经事啊。另外人家禧玛诺顶级鱼竿可比禧玛诺顶级山地车套件贵多了，这说明什么，钓鱼佬是真的有钱', '都是退休的，想到我们要65退，就很郁闷']","['../../results\\钓鱼链接\\images\\林大亿-0.jpg', '../../results\\钓鱼链接\\images\\林大亿-1.jpg', '../../results\\钓鱼链接\\images\\林大亿-2.jpg', '../../results\\钓鱼链接\\images\\林大亿-3.jpg', '../../results\\钓鱼链接\\images\\林大亿-4.jpg', '../../results\\钓鱼链接\\images\\林大亿-5.jpg', '../../results\\钓鱼链接\\images\\林大亿-6.jpg']"
回复:佛山一钓鱼佬钓到鳄鱼?,"后面一张图是重点,按过脚来玩我的游戏可好《万世情缘》官方:http://api.chuangyouhy.com/index/Landing/game?&cid=378&gid=1795注册就送VIP等各种福利,发送账号与区服还可另外领取大礼包哦,快来体验吧。",钓鱼,东篱633,2021-12-26 13:42,https://tieba.baidu.com/p/7672267998?pid=142625721827&cid=0#142625721827,"['http://tiebapic.baidu.com/forum/w%3D580/sign=c9e86956978065387beaa41ba7dca115/c1210cf3d7ca7bcb50bd2b37e3096b63f724a890.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=f7ba6cd50f66d0167e199e20a72ad498/f21b970a304e251f5bab0be0fa86c9177f3e537e.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=985d201bf7fb43161a1f7a7210a54642/699b4aed2e738bd4162cf2e1e48b87d6267ff985.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=1425d5dc46d5ad6eaaf964e2b1cb39a3/0f11b13533fa828b602073fba01f4134970a5a53.jpg']","['', 'jj叔叔快过来，我现在一只手嫩着它，你快过来，我的洪荒之力了要是按耐不住，鳄鱼的命了就没啦—————钓鱼佬大哥如是说', '随后警察到来后将鳄鱼带走进行进一步的处理。是不是拿去厨房处理了', '鳄鱼爬行动物，所以钓鱼佬能钓到', '偷我图是吧', '沒啥毛病，鱷魚鯨魚都是魚', '', '再一次验证了钓鱼佬真是除了鱼什么都能钓到啊', '钓鱼就钓鱼，放个足浴照片干嘛。', '', '', '石壁哪的？', '后面一张图是重点，按过脚来玩我的游戏可好《万世情缘》官方链接：注册就送VIP等各种福利，发送账号与区服还可另外领取大礼包哦，快来体验吧。', '好歹不算空军', '']","['../../results\\钓鱼链接\\images\\东篱633-0.jpg', '../../results\\钓鱼链接\\images\\东篱633-1.jpg', '../../results\\钓鱼链接\\images\\东篱633-2.jpg', '../../results\\钓鱼链接\\images\\东篱633-3.jpg']"
回复:小说中的钓鱼吧大佬,"求下载,早上那个贴我记得有个百度网盘的",钓鱼,心史の爱,2021-10-10 19:01,https://tieba.baidu.com/p/7569550603?pid=141617819173&cid=0#141617819173,"['http://tiebapic.baidu.com/forum/w%3D580/sign=89473032786d55fbc5c6762e5d204f40/3537367adab44aed81a3e208f61c8701a08bfb19.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=e93e54b110fbb2fb342b581a7f482043/8555dab44aed2e733b04dac0c201a18b86d6fa19.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=9c161712f2c379317d688621dbc5b784/34bba4c27d1ed21bea12fbf1f06eddc450da3fff.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=6fc02fd843178a82ce3c7fa8c602737f/32e439dbb6fd52663df0e900f618972bd50736ff.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=5f7f4701e6cc7cd9fa2d34d109032104/d376252dd42a2834c74b6ae71eb5c9ea14cebf19.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=e14aad1814da81cb4ee683c56267d0a4/31a4a61ea8d3fd1f0d10e7d6754e251f94ca5ff4.jpg']","['被鬼盯上，直接2箱雷管水池开干', '名字', '', '大家好，我是放生吧老吧友，基本每天都在放生，如图，放生是一种行善积德，是尊重生命，素质品味比较高尚的行为。而钓鱼则是在杀生，是一种血腥的罪恶，是素质品味修养比较低调的行为。我真诚的建议大家别钓鱼了，和我一样多多行善积德。【图片】【图片】【图片】', '求下载链接，早上那个贴我记得有个百度网盘的']","['../../results\\钓鱼链接\\images\\心史の爱-0.jpg', '../../results\\钓鱼链接\\images\\心史の爱-1.jpg', '../../results\\钓鱼链接\\images\\心史の爱-2.jpg', '../../results\\钓鱼链接\\images\\心史の爱-3.jpg', '../../results\\钓鱼链接\\images\\心史の爱-4.jpg', '../../results\\钓鱼链接\\images\\心史の爱-5.jpg']"
回复:某个钓鱼引战贴,"算了,我还是直接放吧实话实说,屠夫哪里弱了?",第五人格,飒渝小号,2021-11-16 23:46,https://tieba.baidu.com/p/7615111082?pid=142088666641&cid=0#142088666641,"['http://tiebapic.baidu.com/forum/w%3D580/sign=9a0c31e02209c93d07f20effaf3cf8bb/8bf1abecab64034f2bebb9e8eac379310b551dc1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=c5d19f16e286c91708035231f93c70c6/42080aaea40f4bfbabf6e5ba464f78f0f63618c1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=6a04db1494c8a786be2a4a065708c9c7/b3fad2035aafa40f04e0b533ee64034f79f019c1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=cc039af46d34349b74066e8df9eb1521/25d7b71090ef76c64ec180c5d816fdfaae5167dd.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=a635173d53f41bd5da53e8fc61da81a0/7311e050f8198618ed511f9217ed2e738bd4e69b.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=45c012ec26cb0a4685228b315b63f63e/eed7f3cd7cd98d1048dafc277c3fb80e7bec90a2.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=2043c72e26f40ad115e4c7eb672c1151/d5c466d2d539b60010cbffa1b450352ac65cb7af.jpg']","['倒是挺会删回复的敢钓鱼，你倒是敢不删啊自己炸鱼炸出来的胜率就直接来贴吧引战，让求生玩家和屠夫玩家互掐，然后还删我评。吧主在你贴里回复，和你钓鱼有冲突吗？和我at吧务删你贴有冲突吗？如果你这个不算引战，你贴也不会被删，你心虚删我回复干嘛吧龄多少和是不是你小号有冲突吗？贴吧号本身就可以买来，至于是不是你小号只有你自己清楚', '算了，我还是直接放链接吧', '看的到吗？', '', '', '算了，老被吞，还是直接at人算了', '', '', '先睡了，懒得吵', '你知不知道你很欠？什么都是钓鱼？我还心虚？是你在下面搁这bbll，显得你很正义？大伙就不能讨论了是吧？什么都是钓鱼那干脆别讲话了，什么文字狱', '你先来冲我，还挂我，我不能冲回去？', '建议点开主页', '补上一张，以及讨论不等于吵架，谢谢，您那楼里一堆人互掐的，麻烦先看看那些回复', '欠不欠，和你删不删我回复不冲突', '就算不是引战，宁那个贴也有引战的嫌疑']","['../../results\\钓鱼链接\\images\\飒渝小号-0.jpg', '../../results\\钓鱼链接\\images\\飒渝小号-1.jpg', '../../results\\钓鱼链接\\images\\飒渝小号-2.jpg', '../../results\\钓鱼链接\\images\\飒渝小号-3.jpg', '../../results\\钓鱼链接\\images\\飒渝小号-4.jpg', '../../results\\钓鱼链接\\images\\飒渝小号-5.jpg', '../../results\\钓鱼链接\\images\\飒渝小号-6.jpg']"
"注意!!&amp;#xF232;&amp;#xF232;楼下钓鱼网站,大家不要点链接。!","希望吧务删除封禁?发布网站的!像发布网站的根本不管!!笑死!!还身正,笑死我了!。我都截图了,收集证据。!!!湖南警方已经介入调查,希望吧友能提供证据,被盗的留言可以追回!!!注意!。楼下网站...",地下城与勇士,奥兹玛互托,2021-11-21 21:19,https://tieba.baidu.com/p/7621179005?pid=142154059640&cid=0#142154059640,"['http://tiebapic.baidu.com/forum/w%3D580/sign=adad25b004ee3d6d22c687c373176d41/1127eac4b74543a97eb6ccdb43178a82b9011432.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=29b711c8b8faaf5184e381b7bc5694ed/6bd414ce36d3d53951acb62d7f87e950342ab00e.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=45fd7f00f18f8c54e3d3c5270a2b2dee/7707b7003af33a8703fcb9f4835c10385243b50e.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=d2c597c9ad1f3a295ac8d5c6a924bce3/98b9e850352ac65c4ea95064a6f2b21193138a33.jpg']","['希望吧务删除封禁🈲发布钓鱼网站的！像发布钓鱼网站的根本不管！！笑死！！还身正，笑死我了！。我都截图了，收集证据。！！！！湖南警方已经介入调查，希望吧友能提供证据，被盗的留言可以追回！！！！注意！。楼下钓鱼网站', '这个一看就一眼假啊', '都是老玩家，背骗的几率太小了', '之前不是还有人发被骗了吗', '贴吧萌新大概率会中招。这种骗术吧务经常删，不过人家改个名继续发，删不过来，无解。只能祈求贴吧新人有防骗意识']","['../../results\\钓鱼链接\\images\\奥兹玛互托-0.jpg', '../../results\\钓鱼链接\\images\\奥兹玛互托-1.jpg', '../../results\\钓鱼链接\\images\\奥兹玛互托-2.jpg', '../../results\\钓鱼链接\\images\\奥兹玛互托-3.jpg']"
回复:钓鱼CCC汉化进度,"回复 听陶德吹牛? :失效了,再发一下,可以吗。",上古卷轴,gefh66,2021-11-13 18:20,https://tieba.baidu.com/p/7610974786?pid=142045291039&cid=142045363008#142045363008,"['http://tiebapic.baidu.com/forum/w%3D580/sign=b4639500d982d158bb8259b9b00b19d5/ce016263f6246b606959a19aaef81a4c500fa295.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=c6e52f918da20cf44690fed746084b0c/aabc43ed2e738bd42c7b1a27fc8b87d6277ff953.jpg']","['谢谢大佬。', 'Xbox能用吗大佬', '优秀', '感谢', '支持', '谢谢大佬 加油 爱您！！！！！', '大佬辛苦了！谢谢你！', '暂时不太关心，我之关心你用了什么字体', '话说更新后，字体缺失导致书信全变成囗囗，有办法解决吗', '大佬牛逼', '支持', '希望我能成为和你一样的人', '文盲帮顶', '支持大佬', '钓鱼CCC的主体部分汉化完成，请前往b站专栏下载。']","['../../results\\钓鱼链接\\images\\gefh66-0.jpg', '../../results\\钓鱼链接\\images\\gefh66-1.jpg']"
"回复:楼下是钓鱼网站!!!大家不要点链接,点了改密码,吧务不封号!!","发现了就艾特吧务最多封十天,他会再发,我都砍了很多了,不要啥事都想着阴谋论",地下城与勇士,淡定看题,2021-11-05 14:42,https://tieba.baidu.com/p/7601363805?pid=141935895372&cid=0#141935895372,"['http://tiebapic.baidu.com/forum/w%3D580/sign=e2174656e31ea8d38a22740ca70830cf/dee78c1001e93901f0d27cd33eec54e734d196ce.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=4de7dd05f93eb13544c7b7b3961ca8cb/e908adaf2edda3ccb13449cd44e93901233f92ce.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=73d375e876fa828bd1239debcd1d41cd/8ce3a2cc7cd98d10ce04fddc643fb80e79ec90ce.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=40e7f493601f95caa6f592bef9157fc5/d9d255e736d12f2e6ed55f8d0ac2d562873568ce.jpg']","['严重怀疑吧务和这个发布钓鱼网站的是一伙的！！从来不删贴，不封号！！！我被盗了4亿金币 一块5.6技功辟邪玉，我已经报警了，不过现在刚立案，谁能提供一下这个网址的位置，必有重谢！！！看下图！！！', '顶了', '', '', '顶了', '顶了', '', '顶', '发现了就艾特吧务最多封十天，他会再发，我都砍了很多了，不要啥事都想着阴谋论', '玩这么久dnf了，这网站不一眼就看出来是假的了', '顶', '顶了', '', '顶了', '顶了']","['../../results\\钓鱼链接\\images\\璐村惂鐢ㄦ埛_aVUtMEC-0.jpg', '../../results\\钓鱼链接\\images\\璐村惂鐢ㄦ埛_aVUtMEC-1.jpg', '../../results\\钓鱼链接\\images\\璐村惂鐢ㄦ埛_aVUtMEC-2.jpg', '../../results\\钓鱼链接\\images\\璐村惂鐢ㄦ埛_aVUtMEC-3.jpg']"
