链接标题,内容摘要,来源贴吧,最近回复用户名,最近回复时间,链接地址,主题帖包含图片链接,主题帖内容,图片本地存储地址
回复:???这是巨婴??,"这和一样,正常人一看就知道是骗人的,但总有人上当,这就是筛选的一环。",宫漫,765066960,2021-11-16 16:19,https://tieba.baidu.com/p/7614046700?pid=142083376988&cid=0#142083376988,['http://tiebapic.baidu.com/forum/w%3D580/sign=f36218d19cf9d72a17641015e42b282a/c2577ab5c9ea15cedffd9ce7f3003af33b87b2be.jpg'],"['真正的努力，长期的客户要货自己拿货便宜卖自己赚不告诉老板，维护算一起', '这是正常人的心态。', '众所周知，除了每天24小时打鸡血透支生命的斯德哥尔摩狂信徒以外都是巨婴', '做这图的人确实是巨婴', '什么吸血鬼', '隔壁地狱笑话吧，请！', '', '关我屁事', '和直男癌，直男，一样的道理，都是pua', '还搁这低级洗脑呢。。', '这是沙口领导的洗脑', '这和钓鱼短信一样，正常人一看就知道是骗人的，但总有人上当，这就是筛选的一环。', '打爆老板的头', '加油，打工人', '这是巨婴？这是PUA！']",['../../results\\钓鱼短信\\images\\765066960.jpg']
回复:手机被偷 这是去了华强北了,现在位置回到本地了 显示8号了 给我发了,iphone,丿浮夸灬day,2021-11-12 21:05,https://tieba.baidu.com/p/7609163217?pid=142033843031&cid=142034012612#142034012612,"['http://tiebapic.baidu.com/forum/w%3D580/sign=1035cce7f3003af34dbadc680528c619/dfc838d3d539b6001c152359ac50352ac75cb70f.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=4ec62c17016034a829e2b889fb1249d9/2af89725bc315c60e34bcef9d0b1cb13485477d5.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=30ad38516412b31bc76ccd21b6183674/3c057d8da9773912f03b2177a5198618367ae28a.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=6bacba324dfa513d51aa6cd60d6c554c/3d059f8fa0ec08faab1e3c491cee3d6d54fbdacd.jpg']","['哎呀！我手机前几天公交丢了 为啥不显示定位呢', '我的xsmax', '说句实话，你打110就有用。你去派C所报案，基本凉凉。但是打110，上面的人会让当地的派C所去查，那就有用。', '', '牛牛牛', '昨天丢的，今天就1980公里', '啥手机啊', '我室友晚上和对象在公园坐着12promax被人顺走了，第三天就到深圳了，从郑州到深圳啊', '这不完了吗？报警也没用，警察不会鸟你的。最多给你立个案。没了', '如果你是老外甚至是非洲人都马上给你找回来可惜尔等贱民何来给你有心？', '华强北有人有关系就能给你搞回来', '转转上卖的', '估计被拆配件然后绕ID当游戏机了', '试试某宝上面搜手机找回吧，还有一线希望', '是13吗，我自己买的现在转，99新低价出售，自己买了13pm']","['../../results\\钓鱼短信\\images\\丿浮夸灬day-0.jpg', '../../results\\钓鱼短信\\images\\丿浮夸灬day-1.jpg', '../../results\\钓鱼短信\\images\\丿浮夸灬day-2.jpg', '../../results\\钓鱼短信\\images\\丿浮夸灬day-3.jpg']"
回复:如何评价,"过阵子就来了,你的手机正在刷机!!!登录你的ID找回手机",iphone,鱼人总裁,2021-11-23 17:28,https://tieba.baidu.com/p/7622278547?pid=142179701538&cid=0#142179701538,['http://tiebapic.baidu.com/forum/w%3D580/sign=1d2af0e3ea4543a9f51bfac42e178a7b/c053bd19ebc4b745ed9a990192fc1e178a8215a5.jpg'],"['', '蚌埠住了', '去手机店调监控啊', '如果遇到这种情况有什么好的措施吗', '你这一看就是不是丢了啊，被偷了，正常捡到手机的人哪有这么多的行程轨迹', '过阵子钓鱼短信就来了，你的手机正在刷机！！！登录你的ID找回手机', '看来以后捡到手机直接扔河里了', '报警啊', '把自己涂黑了去报J！', '报警不用说丢了，就说被偷了，按照定位抓。', '华强北那么厉害？', '必须跟踪去找，到手机附近直接报警', '你别说丢的，就是被偷了', '拦不住？开玩笑，快递中途要停中转的，车要休息，人也休息；说难听的，最后到修手机的也有一段时间停留，这还不够上门', '捡到了我就不会还了，找到我又能怎样？不偷不抢。']",['../../results\\钓鱼短信\\images\\鱼人总裁.jpg']
大家警惕新骗术,"图一是一个,伪装成网易的样子,如果你回复了说明上钩了?(我晚上没仔细分辨,回了个H不一会就收到了图二和图三)图二和图三是一起发过来的,其中突然才是真正的网易! 图二也在提醒你不要告诉别人验证码,可是这个**自己就在...",梦幻西游,就不净化太阳井,2021-08-30 20:43,https://tieba.baidu.com/p/7519972331?pid=141093960561&cid=0#141093960561,"['http://tiebapic.baidu.com/forum/w%3D580/sign=7a48434b6a1ed21b79c92eed9d6fddae/0abdfdfaaf51f3de49536bdd83eef01f382979d6.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=cfee2f1cc643ad4ba62e46c8b2035a89/0b29d158ccbf6c8196d7fe51ab3eb13531fa40d6.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=e169ad6439738bd4c421b239918a876c/6ba89245d688d43fbc49434b6a1ed21b0cf43bd6.jpg']","['在忙别的事情，差点不小心上当了图一是一个钓鱼短信，伪装成网易的样子，如果你回复了说明上钩了？（我晚上没仔细分辨，回了个H不一会就收到了图二和图三）图二和图三是一起发过来的，其中突然才是真正的网易！ 图二也在提醒你不要告诉别人验证码，可是这个**自己就在要验证码！大家一定要擦亮眼睛！骗子***！', '太新了', '快发他我是你爹']","['../../results\\钓鱼短信\\images\\就不净化太阳井-0.jpg', '../../results\\钓鱼短信\\images\\就不净化太阳井-1.jpg', '../../results\\钓鱼短信\\images\\就不净化太阳井-2.jpg']"
回复:曝光一个偷手机的人,"2021年2月4日我发现定位已经到了广西梧州,之前也收到了,我也彻底死心了吧!又加了一条信息说归还手机给2000元报酬,后面就有人联系我了!",iphone11,MeetYou很幸运,2021-02-13 20:49,https://tieba.baidu.com/p/7227190754?pid=137917579370&cid=0#137917579370,"['http://tiebapic.baidu.com/forum/w%3D580/sign=3aa356d8da11728b302d8c2af8fdc3b3/96021bce36d3d5395da3d68a2d87e950372ab0c2.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=134122628a16fdfad86cc6e6848e8cea/427d047b02087bf4be7f8ea0e5d3572c13dfcfd5.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=ed1f97f089510fb37819779fe932c893/7135adcc7cd98d100a3bd578363fb80e79ec90f0.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=47dac4410830e924cfa49c397c096e66/4630b23eb13533fac2594a67bfd3fd1f43345bf0.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=2f49cddd512309f7e76fad1a420e0c39/cdadd888d43f8794c4c19067c51b0ef41ad53aa1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=71f15f688413b07ebdbd50003cd79113/a8dea1c379310a55391a06bda04543a9832610a1.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=9adc60c8dc1349547e1ee86c664e92dd/0ed5289759ee3d6d91f85f8254166d224e4adea2.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=506d30bd46da81cb4ee683c56266d0a4/cecb99dda144ad34a4815fcec7a20cf430ad85a2.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=6c2fd853d15c1038247ececa8210931c/1413f5edab64034ffd8f1a4fb8c379310b551d25.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=1347762958c2d562f208d0e5d71090f3/c1c7090828381f30435b55e0be014c086f06f026.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=e9b642ba6e310a55c424defc87444387/292ea9efce1b9d16e37a4228e4deb48f8d546426.jpg']","['2020年12月6日我的iPhone11放在电动车的包里面，我上楼后下来拿已经没有了，查看定位已经被关机！手机资料很多，当天已经快疯掉了！', '2021年1月15日，手机被开机，显示了定位就在我宿舍附近，后面又到了另外一条街。我加了一条留言说归还手机可以给1000元报酬，仍然不见有人联系我，我很苦恼也很伤心，希望对方可以归还于我，已经报过警，但是没有监控，哎', '2021年2月4日我发现定位已经到了广西梧州，之前也收到了钓鱼短信，我也彻底死心了吧！又加了一条信息说归还手机给2000元报酬，后面就有人联系我了！', '我不敢说他是不是偷了我的手机，此人说刚刚开机，骗鬼呢！还说物归原主，自己偷了我的手机脸皮还这么厚，我也说了给他一定的报酬，但是他觉得这个手机就是他的一样，气死我了，怎么有这么厚颜无耻之人，气死我了！年底我也没什么钱！', '真贱这种司马小偷', '这个是小偷的支付宝信息，微信信息，这个人可能是专门倒卖手机的，大家以后遇到请避雷吧！我也当做是一次教训，花钱买教训了！', '报警', '他能打开手机？', '报警就是啦不要给钱他，现在支付宝都是实名的一找就找到他', '你是不是有病啊 给这种**钱干嘛啊 报警', '沙雕，就这还不报警，报警百分百判刑，因为销赃。', '报警啊', '应该是偷手机的人销赃给他了', '这转钱会给你发货？', '楼主这是懵了 先别给他转啊']","['../../results\\钓鱼短信\\images\\MeetYou很幸运-0.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-1.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-2.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-3.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-4.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-5.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-6.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-7.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-8.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-9.jpg', '../../results\\钓鱼短信\\images\\MeetYou很幸运-10.jpg']"
回复:暴光一个*** 给你们说一下这些狗的套路 防一下,这是申诉完成后我正常的短信 所以可以看出前面的是一个,王者荣耀共号,屁卷汪,2020-09-12 22:35,https://tieba.baidu.com/p/6944218702?pid=134823300358&cid=0#134823300358,"['http://tiebapic.baidu.com/forum/w%3D580/sign=61dd2fecfe50352ab16125006342fb1a/a51b7dcf36d3d539ed2e2f982d87e950342ab048.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=409ade8461094b36db921be593cd7c00/c1c53183b2b7d0a27dc324c6dcef76094a369a51.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=9be8a6779001a18bf0eb1247ae2e0761/eae95e7bdab44aed3e4f9ebfa41c8701a08bfb5e.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=74826875c51b0ef46ce89856edc551a1/90f2fa44d688d43f57d4b1a96a1ed21b0ff43b5a.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=32378b4410082838680ddc1c8898a964/e725db1d8701a18b929e3214892f07082938fe62.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=75548240c30735fa91f04eb1ae500f9f/552adefc5266d016d768be73802bd40734fa356e.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=bb4c5ffbe103738dde4a0c2a831ab073/2f58ea27cffc1e1788cfac6a5d90f603728de96f.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=9b15a6779001a18bf0eb1247ae2e0761/eae95e7bdab44aed3eb29ebfa41c8701a38bfbdb.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=2ca119589044ebf86d716437e9f8d736/66b79a1ebe096b63b1e57e0b1b338744e9f8acdb.jpg']","['暴光一个*** 给你们说一下这些狗的套路 防一下', '这个盗了我的号', '先是正常的要了一次登录密码', '然后说要第二次 我承认这点就很可疑了 但奈何太轻信', '这个要微信号就套路了我的手机号', '然后发第二次验证码 注意这个页面和号码 等下有比较', '开启设备锁', '这是申诉完成后我正常的短信  所以可以看出前面的是一个钓鱼短信', '这条狗真的', '我这号说实话很老了 但是历史资料仍然申不过 依然要好友辅助 这一点真的太可怕了 你们真的要注意这些借号的', '这贴我会日常一顶的 这狗贴吧号我不知道 删了', '这套路一套一套的 要微信号套你手机号基本上是密保手机 然后用钓鱼网站发你一个和腾讯差不多的短信 引诱你第二次给验证码 我真的借号这么久 第一次上套 当然肯定是最后一次', '啊这，真就什么人都有', '然后我被盗的时间就是晚是9点左右 他说上了 但记录显示没有说实话这么老的号我原以为历史资料能过 但并没有 这一点比盗号还让我觉得可怕 我', '顶']","['../../results\\钓鱼短信\\images\\屁卷汪-0.jpg', '../../results\\钓鱼短信\\images\\屁卷汪-1.jpg', '../../results\\钓鱼短信\\images\\屁卷汪-2.jpg', '../../results\\钓鱼短信\\images\\屁卷汪-3.jpg', '../../results\\钓鱼短信\\images\\屁卷汪-4.jpg', '../../results\\钓鱼短信\\images\\屁卷汪-5.jpg', '../../results\\钓鱼短信\\images\\屁卷汪-6.jpg', '../../results\\钓鱼短信\\images\\屁卷汪-7.jpg', '../../results\\钓鱼短信\\images\\屁卷汪-8.jpg']"
出去玩11丢了 当时去派出所报案根本没用 还有机会找回来吗,今天收到这个了,iphone,阿然虽然阿哈,2020-12-25 13:09,https://tieba.baidu.com/p/7167256427?pid=137192447585&cid=0#137192447585,"['http://tiebapic.baidu.com/forum/w%3D580/sign=0743e145fe24b899de3c79305e071d59/cd0e26381f30e92497e257745b086e061d95f73c.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=2359b13f37a446237ecaa56aa8237246/891063224f4a20a40858f78287529822720ed03c.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=0ea59357584a20a4311e3ccfa0539847/78fd4d166d224f4a6d17b8561ef790529922d1f4.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=2bf00587a5119313c743ffb855390c10/da3e5d43fbf2b211eba04e0bdd8065380dd78ef4.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=49d17b40f2dde711e7d243fe97eecef4/85c4db628535e5dd7ba26e9a61c6a7efcf1b62f4.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=0c82a21523a85edffa8cfe2b795509d8/5323b2315c6034a8ee6c73c4dc134954082376f4.jpg']","['今天收到这个钓鱼短信了', '求助 兄弟们', '官方短信号码是什么', '吐了啊家人们', '快花几百块钱找个外国人帮你报案，第一天报案，第二天就能找回来', '老手吗，不看短信干嘛还以为官方的呢', '找不回来 把机器锁了 就去买新的吧', '', '借楼出8p 64g自用机，无修无换，需要的看下主页哈刚换12闲置中', '找是找不回来了', '别想了', '花200块钱找个老外帮忙报案，第二天全新未拆封未激活的手机到家了，除了序列号对不上之外，其他完全一致', '丢了的手机不要报警，要不然还浪费车费，亲身体验', '说不定都已经分尸了', '问谁都没有找外国佬帮报案来得快']","['../../results\\钓鱼短信\\images\\阿然虽然阿哈-0.jpg', '../../results\\钓鱼短信\\images\\阿然虽然阿哈-1.jpg', '../../results\\钓鱼短信\\images\\阿然虽然阿哈-2.jpg', '../../results\\钓鱼短信\\images\\阿然虽然阿哈-3.jpg', '../../results\\钓鱼短信\\images\\阿然虽然阿哈-4.jpg', '../../results\\钓鱼短信\\images\\阿然虽然阿哈-5.jpg']"
"纳税申报状态异常,过时申请将被罚款?","涉及税务的诈骗可不止这一种,另一种也很常见,就是链接诈骗。骗子以税务部门的名义,向纳税人发送虚假诈骗,谎称纳税人的纳税状态或证照信息异常,要求纳税人点开链接后,进行验证或输入个人身份信息、企业信息和银行信息以此实施...",珠海,珠海网警,2021-10-13 22:03,https://tieba.baidu.com/p/7574359566?pid=141655642759&cid=0#141655642759,"['http://tiebapic.baidu.com/forum/w%3D580/sign=7eecf2dbc425bc312b5d01906edf8de7/014d9d16fdfaaf51a0c7a6aad15494eef01f7a51.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b4e78b00e1315c6043956be7bdb1cbe6/5240fdfaaf51f3dee0969e71c9eef01f3a297951.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=cc3cae14016034a829e2b889fb1349d9/32acaf51f3deb48fd94d86cbad1f3a292df57851.jpg']",['骗子为了骗钱可谓是无所不用其极最近，骗子的骗术又有所升级开始冒充“领导”和“税务人员”联合施骗“税务部门”通过QQ平台通知开展稽查工作？张女士（化名）是厦门某公司财务人员，近期，她在公司接到一个自称是税务局“工作人员”的电话，要开展2021年的税务稽查工作，让张女士添加税务局“李主任”的QQ配合工作。张女士一听是涉及公司的税务工作，也没多想便添加了“李主任”为好友。随后，“李主任”便在QQ中发了一份《关于2021税务稽查随机抽查工作的通知》，要求张女士按通知的要求提供相关的信息，税务部门会到张女士公司进行抽查。由于之前税务部门也有对公司进行随机抽查，所以张女士便没有怀疑，开始着手准备相关材料。没过多久，张女士发现被人拉进了一个QQ群，群里有“公司老板”和“部门经理”，陈女士没多在意，刚开始“老板”和“总经理”在聊家常，之后“老板”问张女士是否有税务人员与她联系，张女士称确有此事。过了一阵，“老板”称开会无法接听电话，要求张女士从公司转一笔款到客户银行账户，还提供了卡号。由于当天出纳没上班，张女士没办法进行转账。第二天，张女士找出纳制单，出纳询问了张女士转账的原因，听了张女士的诉说后，出纳提醒张女士可能是诈骗，让张女士赶紧咨询税务部门并与部门领导进行核实。经核实，老板根本没有下达转账汇款的要求。张女士这才醒悟过来，原来群里除了张女士外，都是骗子。其实，张女士遭遇的是典型的冒充公司领导针对财务人员的诈骗手法，但区别于以往的“客户打货款”等说辞，骗子这次升级了诈骗手段，谎称是税务部门的“领导”，以“随机抽查”为理由，让企业立刻准备好相关资料，并假冒公司高层要求转账等。若企业防范意识不足，骗子就会趁虚而入，利用企业害怕被“稽查立案”的忐忑心理和对财税知识的欠缺，以补缴税款为名实施诈骗。珠海公安在此提醒广大财务人员在日常工作中，要做到“两不，一慎”。一、不轻信不要轻信QQ（群）、微信（群）中涉及公司转账汇款的信息，对公司老板、负责人或其他人员通过网络社交工具要求转账汇款的，要认真识别，充分核实，提高警惕。二、不添加不要轻易添加陌生QQ、微信的好友申请，特别是涉及公司老板、负责人名字的QQ、微信，一定要电话或当面核实清楚。三、慎转账严格执行公司相关财务管理制度要求，针对QQ、微信要求的转账汇款、必须经过公司老板、负责人当面或电话核实，有疑问可拨打96110进行咨询举报，一旦遭遇诈骗立即拨打110进行报警。纳税申报状态异常，过时申请将被罚款？涉及税务的诈骗可不止这一种，另一种也很常见，就是钓鱼链接短信诈骗。骗子以税务部门的名义，向纳税人发送虚假诈骗短信，谎称纳税人的纳税状态或证照信息异常，要求纳税人点开链接后，进行验证或输入个人身份信息、企业信息和银行信息以此实施诈骗。收到类似短信，千万不要点！千万不要点！遇到税务相关的不明情况，可致电12366纳税服务平台电话或联系主管税务机关进行核实咨询，避免误入钓鱼网站；不轻易在网站上填写涉及身份证、银行卡账号、密码等信息，验证码是保护个人资金安全的最后一道屏障，切勿随便向他人提供。网络诈骗要小心，不明网站别轻信！千变万化套路深，验证核实要认真！（来源：珠海公安）'],"['../../results\\钓鱼短信\\images\\珠海网警-0.jpg', '../../results\\钓鱼短信\\images\\珠海网警-1.jpg', '../../results\\钓鱼短信\\images\\珠海网警-2.jpg']"
回复:谨防诈骗,"??警惕??不要点击短信或者微信中的陌生类似官网的网址,请登陆正规的App识别。以免泄漏手机号和密码!PS:任何索要密码(助记词/私钥)或者是引导你转到指定保密安全账户的都属于诈骗,请驼友们仔细甄别!",dxchain,A清清溪水A,2021-06-07 10:35,https://tieba.baidu.com/p/7386048551?pid=139703770393&cid=0#139703770393,"['http://tiebapic.baidu.com/forum/w%3D580/sign=1112719a802bd40742c7d3f54b889e9c/e6a7ab25ab18972bcc31ef78f1cd7b899f510aaf.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=8552d9cd6ff0f736d8fe4c093a54b382/cd5c0965034f78f0d90075416e310a55b2191caf.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=bcccb5fcc182d158bb8259b9b00b19d5/a4e97308b3de9c82bc9dca9d3181800a18d8435e.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b5756b77a5119313c743ffb855390c10/2689f142fbf2b211752520fbdd8065380dd78eab.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=b69e07aa10082838680ddc1c8898a964/b167857e9e2f0708b9d986b5fe24b899ab01f2de.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=dcdc3a4a6bd98d1076d40c39113fb807/9a1e8cdca3cc7cd97f11986f2e01213fb90e91ff.jpg']","['', '⚠️警惕钓鱼短信⚠️不要点击短信或者微信中的陌生类似官网的网址，请登陆正规的App识别。以免泄漏手机号和密码！PS：任何索要密码（助记词/私钥）或者是引导你转到指定保密安全账户的都属于诈骗，请驼友们仔细甄别！', '优秀的猎人往往以猎物形式出现[吃瓜][吃瓜]大家一定要注意别被骗了！！', '', '']","['../../results\\钓鱼短信\\images\\A清清溪水A-0.jpg', '../../results\\钓鱼短信\\images\\A清清溪水A-1.jpg', '../../results\\钓鱼短信\\images\\A清清溪水A-2.jpg', '../../results\\钓鱼短信\\images\\A清清溪水A-3.jpg', '../../results\\钓鱼短信\\images\\A清清溪水A-4.jpg', '../../results\\钓鱼短信\\images\\A清清溪水A-5.jpg']"
回复:手机丢了求助大佬,"直接电脑访问苹果中国官方网站,记得用百度搜索引擎,进入网站后处理,哪能手机点击链接啊,大概率骗取密码的",iphone,xiongkefei001,2021-03-19 20:26,https://tieba.baidu.com/p/7266488824?pid=138397597082&cid=0#138397597082,['http://tiebapic.baidu.com/forum/w%3D580/sign=cff7b352ae389b5038ffe05ab534e5f1/9ee138d12f2eb9386276d3bec2628535e5dd6f6e.jpg'],"['肯定是假的。', '假的，852是香港手机号码 如果真发短信也是106开头', '假的，在骗id密码呢', '点进去手机就跟你一毛钱关系都没有了', '真的，输完就行了，', '你手机丢没丢都不知道吗？', '直接电脑访问苹果中国官方网站，记得用百度搜索引擎，进入网站后处理，哪能手机点击链接啊，大概率钓鱼短信骗取密码的', '登陆进去输入：nimqjifenshu，密码wo*******legebi', '苹果给你发的短信不会直接显示链接的', '假的，别点，这是钓鱼短信', '真假都不管，丢了就是丢了！给发的傻都不要信！因为没见过找回来的！也没有人主动给你送回来！', '真的，放心大胆的输入密码和账号，要不然手机就废了', '钓鱼，愿者上钩', '输入假的账号密码就行，玩一玩那人']",['../../results\\钓鱼短信\\images\\xiongkefei001.jpg']
"回复:求助,手机被偷了,已经开了丢失模式,小偷好像在刷机","刷不掉的,这短信是,还有说绕过系统刷机的,这个是一种绕ID刷机的方法,但是刷完机他就只是一个游戏机且不能重启,重启后又会被锁,而且绕ID是需要一个前提的,就是你丢失的手机系统当前版本支持越狱,如果当前系统版本不支持越狱...",iphone,jiajia7689,2021-04-08 15:39,https://tieba.baidu.com/p/7290689735?pid=138662369315&cid=138692156624#138692156624,"['http://tiebapic.baidu.com/forum/w%3D580/sign=9bc8a47f5b086e066aa83f4332097b5a/2322b699a9014c084d5710eb1d7b02087bf4f412.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=bad78aa8307f9e2f70351d002f31e962/4d07af8b87d6277f85730a763f381f30e924fc25.jpg', 'http://tiebapic.baidu.com/forum/w%3D580/sign=8fa74e687a224f4a5799731b39f69044/9ffdbcfb43166d2272162dda512309f79052d225.jpg']","['这是真的还是假的？', '他能刷掉我的id吗？我需不需要直接抹掉那部手机', '最后出现在广州', '当然是来骗你账号密码的啦', '可以刷掉我的id吗？就想恶心他，让他偷到了也没法用', '不登陆钓鱼网站就行', '真的，快登陆账号然后帮小偷解锁', '快进到网站做慈善事业', '假的，刷不掉id但是能卖零件', '刷不掉 这是钓鱼网站 别进', '有些可以，跳激活和id，不能插卡，不是很清楚', '你点击连接，输入密码，他就破解了', '报警就完事了 有监控', '您台iPhone 字都没打全', '刷不掉id，但是刷不掉的话就直接拆机分解卖原厂零件了']","['../../results\\钓鱼短信\\images\\jiajia7689-0.jpg', '../../results\\钓鱼短信\\images\\jiajia7689-1.jpg', '../../results\\钓鱼短信\\images\\jiajia7689-2.jpg']"
